fileName,modelIsValidBPMN,modelTNT,modelTNCS,modelTNA,modelTNDO,modelTNG,modelTNEE,modelTNIE,modelTNSE,modelTNE,modelTNSF,modelNP,modelNL,modelCLA,modelCLP,modelPDOPin,modelPDOPout,modelPDOTOut,modelPLT,tapeGU,tapeALU,tapeRLU,tapeLUB,tapeAvgLUB,tapeDI,tapeDD,tapeAvgDI,tapeAvgDD,tapeMI,tapeMD,tapeAvgMI,tapeAvgMD,tapeExecutionTimeMs
05343.bpmn,false,8,0,0,0,0,2,0,0,2,10,2,0,0,2,0,0,0,0,94,47,"0.5,0.5","0,0",0,"0,0","0,0",0,0,"1,1","1,1",1,1,21.760839000111446
05344.bpmn,false,8,0,0,0,0,2,0,0,2,10,2,0,0,2,0,0,0,0,94,47,"0.5,0.5","0,0",0,"0,0","0,0",0,0,"1,1","1,1",1,1,10.091982000041753
05345.bpmn,false,5,0,0,0,1,0,0,0,1,6,1,3,0,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,6.9269510000012815
05346.bpmn,false,17,0,0,3,9,4,0,0,3,37,3,2,0,0.3333333333333333,0.6666666666666666,0,0,0,267,89,"0.6928838951310862,0.23220973782771537,0.0749063670411985","0.35955056179775285,-0.10112359550561795,-0.2584269662921348",3.700743415417188e-17,"0,0,0","0,0,0",0,0,"0,1,0","0,0,1",0.3333333333333333,0.3333333333333333,26.45663100015372
05347.bpmn,false,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,2.7774429998826236
05348.bpmn,false,8,0,0,0,0,2,0,0,2,10,2,0,0,2,0,0,0,0,94,47,"0.5,0.5","0,0",0,"0,0","0,0",0,0,"1,1","1,1",1,1,10.029844000004232
05349.bpmn,false,7,0,0,0,0,0,0,0,1,4,2,0,0,1.5,0,0,0,0,46,23,"0.782608695652174,0.21739130434782608","0.28260869565217395,-0.28260869565217395",0,"0,0","0,0",0,0,"1,1","1,1",1,1,7.2671209999825805
05350.bpmn,false,17,0,0,3,9,4,0,0,3,37,3,2,0,0.3333333333333333,0.6666666666666666,0,0,0,267,89,"0.6928838951310862,0.23220973782771537,0.0749063670411985","0.35955056179775285,-0.10112359550561795,-0.2584269662921348",3.700743415417188e-17,"0,0,0","0,0,0",0,0,"0,1,0","0,0,1",0.3333333333333333,0.3333333333333333,25.989863000111654
05351.bpmn,false,4,0,0,0,1,2,0,0,1,7,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,8.384786000009626
05352.bpmn,false,7,0,0,0,1,0,1,1,1,7,1,0,0,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,6.878897000104189
05353.bpmn,false,4,0,0,0,1,2,0,0,1,7,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,6.078024000162259
05354.bpmn,false,0,0,5,0,3,0,1,1,1,13,0,0,0.38461538461538464,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,12.72626499994658
