"fileName","modelIsValidBPMN","applicationDomain","modelTNT","modelTNCS","modelTNA","modelTNDO","modelTNG","modelTNEE","modelTNIE","modelTNSE","modelTNE","modelTNSF","modelNP","modelNL","modelCLA","modelCLP","modelPDOPin","modelPDOPout","modelPDOTOut","modelPLT","tapeGU","tapeALU","tapeRLU","tapeLUB","tapeAvgLUB","tapeDI","tapeDD","tapeAvgDI","tapeAvgDD","tapeMI","tapeMD","tapeAvgMI","tapeAvgMD","tapeExecutionTimeMs","endEventRequiredErrors","startEventRequiredErrors","fakeJoinErrors","noDisconnectedErrors","superfluousGatewayErrors","subProcessBlankStartEventErrors","noGatewayJoinForkErrors","noImplicitSplitErrors","noInclusiveGatewayErrors","conditionalFlowErrors"
"03286.bpmn","false","","4","0","9","0","0","1","0","0","1","11","0","0","0.8181818181818182","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","7.448260000091977","0","0","1","0","0","0","0","1","0","0"
"03287.bpmn","false","","8","0","8","7","4","2","0","0","1","16","0","0","0.5","0","0.42857142857142855","0.5714285714285714","0.5","0","0","0","","","0","","","0","0","","","0","0","20.821762999985367","0","0","0","1","0","0","0","0","0","0"
"03288.bpmn","true","","10","0","10","6","5","2","0","0","2","22","0","0","0.45454545454545453","0","0.6666666666666666","0.3333333333333333","0.2","0","0","0","","","0","","","0","0","","","0","0","23.1270459999796","0","0","1","0","0","0","0","0","0","0"
"03289.bpmn","false","","9","0","9","0","0","1","0","0","1","12","0","0","0.75","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","8.201047000009567","0","0","2","0","0","0","0","3","0","0"
"03290.bpmn","false","","8","0","8","0","0","0","0","0","0","13","0","0","0.6153846153846154","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","7.476728999987245","1","1","3","0","0","0","0","4","0","0"
"03291.bpmn","false","","7","0","7","0","0","1","0","0","1","11","1","0","0.6363636363636364","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","14.465077999979258","0","0","2","0","0","0","0","2","0","0"
"03292.bpmn","false","","5","0","5","0","0","0","0","0","0","9","0","0","0.5555555555555556","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","7.531618000008166","1","1","3","0","0","0","0","3","0","0"
"03293.bpmn","false","","11","0","11","8","0","0","1","1","0","14","0","0","0.7857142857142857","0","0.75","0.25","0.18181818181818182","0","0","0","","","0","","","0","0","","","0","0","12.890357000054792","1","1","4","3","0","0","0","5","0","0"
"03294.bpmn","false","","14","0","14","0","2","1","0","0","1","17","2","3","0.8235294117647058","2","0","0","0","0.21428571428571427","123","61.5","0.3170731707317073,0.6829268292682927","-0.18292682926829268,0.18292682926829273","0.000000000000000027755575615628914","0,0","0,0","0","0","1,1","1,1","1","1","14.542476000031456","1","1","1","0","0","0","0","0","0","0"
"03295.bpmn","false","Commerce","14","0","14","0","6","7","2","2","3","28","2","2","0.5","4.5","0","0","0","0.14285714285714285","226","113","0.4336283185840708,0.5663716814159292","-0.0663716814159292,0.0663716814159292","0","0,0","0,0","0","0","1,1","1,1","1","1","33.843685999978334","0","0","0","0","0","0","0","0","0","0"
"03296.bpmn","true","","10","0","10","11","4","2","0","0","1","19","1","3","0.5263157894736842","0","0.6363636363636364","0.36363636363636365","0.4","0.3","0","0","","","0","","","0","0","","","0","0","19.2502150000073","0","0","1","0","0","0","0","0","0","0"
"03297.bpmn","false","","5","0","5","0","1","0","1","1","1","13","1","0","0.38461538461538464","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","7.744913000031374","1","0","0","1","0","0","0","0","0","0"
"03298.bpmn","false","","3","0","3","0","1","2","0","0","1","6","0","0","0.5","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","12.531621999922208","0","0","0","0","0","0","0","0","0","0"
"03299.bpmn","false","","15","0","15","0","2","1","1","1","1","20","2","3","0.75","1","0","0","0","0.2","140","70","0.07857142857142857,0.9214285714285714","-0.42142857142857143,0.4214285714285714","-0.000000000000000027755575615628914","0,0","0,0","0","0","1,1","1,1","1","1","16.724661000072956","1","1","2","0","0","0","0","0","0","0"
"03300.bpmn","false","","10","0","10","0","1","1","1","1","1","14","1","4","0.7142857142857143","0","0","0","0","0.4","0","0","","","0","","","0","0","","","0","0","11.583637000061572","0","0","1","0","0","0","0","1","0","0"
"03301.bpmn","false","","15","0","15","0","1","1","1","1","1","18","2","4","0.8333333333333334","2","0","0","0","0.26666666666666666","130","65","0.3,0.7","-0.2,0.19999999999999996","-0.000000000000000027755575615628914","0,0","0,0","0","0","1,1","1,1","1","1","15.25883199996315","1","1","2","0","0","0","0","0","0","0"
"03302.bpmn","false","","12","0","12","0","2","1","1","1","1","17","2","3","0.7058823529411765","1","0","0","0","0.25","119","59.5","0.09243697478991597,0.907563025210084","-0.40756302521008403,0.40756302521008403","0","0,0","0,0","0","0","0,1","1,0","0.5","0.5","22.265039999969304","1","1","2","0","0","0","0","0","0","0"
"03303.bpmn","false","","7","0","7","0","0","1","3","3","1","14","0","0","0.5","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","9.675642999936827","0","0","2","0","0","0","0","3","0","0"
"03304.bpmn","false","","4","0","4","0","1","1","0","0","1","3","0","2","1.3333333333333333","0","0","0","0","0.5","0","0","","","0","","","0","0","","","0","0","3.9472999999998137","0","0","0","2","0","0","0","0","0","0"
"03305.bpmn","false","","4","0","4","0","1","1","0","0","1","7","0","3","0.5714285714285714","0","0","0","0","0.75","0","0","","","0","","","0","0","","","0","0","6.464982999954373","0","0","1","0","0","0","0","1","0","0"
"03306.bpmn","false","","3","0","3","1","4","1","1","1","1","6","0","0","0.5","0","0","1","0.3333333333333333","0","0","0","","","0","","","0","0","","","0","0","6.654746999964118","0","0","0","3","0","0","0","0","0","0"
"03307.bpmn","false","","17","0","17","3","9","4","0","0","3","37","3","2","0.4594594594594595","0.3333333333333333","0.6666666666666666","0","0","0.11764705882352941","267","89","0.6928838951310862,0.23220973782771537,0.0749063670411985","0.35955056179775285,-0.10112359550561795,-0.2584269662921348","0.00000000000000003700743415417188","0,0,0","0,0,0","0","0","0,1,0","0,0,1","0.3333333333333333","0.3333333333333333","35.55962700000964","0","0","4","0","0","0","0","0","0","5"
"03308.bpmn","false","","9","0","9","1","2","2","3","3","2","18","2","3","0.5","3","0","1","0.1111111111111111","0.3333333333333333","123","61.5","0.5609756097560976,0.43902439024390244","0.060975609756097615,-0.06097560975609756","0.000000000000000027755575615628914","0,0","0,0","0","0","1,1","1,1","1","1","17.88048599998001","0","0","1","0","0","0","1","0","0","0"
"03309.bpmn","false","","17","0","17","3","9","4","0","0","3","37","3","2","0.4594594594594595","0.3333333333333333","0.6666666666666666","0","0","0.11764705882352941","267","89","0.6928838951310862,0.23220973782771537,0.0749063670411985","0.35955056179775285,-0.10112359550561795,-0.2584269662921348","0.00000000000000003700743415417188","0,0,0","0,0,0","0","0","0,1,0","0,0,1","0.3333333333333333","0.3333333333333333","34.85041299997829","0","0","4","0","0","0","0","0","0","5"
"03310.bpmn","false","","5","2","8","0","3","4","0","0","1","17","0","0","0.47058823529411764","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","13.138051999965683","2","2","2","0","0","0","0","0","0","0"
"03311.bpmn","false","","11","0","11","0","1","1","0","0","1","13","4","0","0.8461538461538461","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","9.863529000082053","3","3","0","1","0","0","0","1","0","0"
"03312.bpmn","false","","4","0","4","0","1","2","0","0","1","7","0","0","0.5714285714285714","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","6.3757659998955205","0","0","0","0","0","0","0","0","0","0"
"03313.bpmn","false","","6","0","7","0","0","0","1","1","1","5","1","2","1.4","0","0","0","0","0.2857142857142857","0","0","","","0","","","0","0","","","0","0","6.776318000047468","1","0","1","1","0","0","0","1","0","0"
"03314.bpmn","false","","6","1","7","0","4","5","0","0","2","18","0","0","0.3888888888888889","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","8.64678300009109","0","0","0","17","0","0","0","0","0","0"
"03315.bpmn","false","","5","1","6","2","0","0","1","1","1","6","1","0","1","0","1","0","0","0","0","0","","","0","","","0","0","","","0","0","6.834972999989986","2","1","0","1","0","0","0","0","0","0"
"03316.bpmn","false","","8","0","8","0","2","2","2","2","1","14","1","2","0.5714285714285714","0","0","0","0","0.25","0","0","","","0","","","0","0","","","0","0","11.000742999953218","0","0","0","0","0","0","0","1","0","0"
"03317.bpmn","false","","17","0","17","3","9","4","0","0","3","37","3","2","0.4594594594594595","0.3333333333333333","0.6666666666666666","0","0","0.11764705882352941","267","89","0.6928838951310862,0.23220973782771537,0.0749063670411985","0.35955056179775285,-0.10112359550561795,-0.2584269662921348","0.00000000000000003700743415417188","0,0,0","0,0,0","0","0","0,1,0","0,0,1","0.3333333333333333","0.3333333333333333","41.00059899990447","0","0","4","0","0","0","0","0","0","5"
"03318.bpmn","false","","2","1","3","4","0","0","0","0","1","3","1","0","1","0","0.5","0.5","1","0","0","0","","","0","","","0","0","","","0","0","6.244470000034198","2","1","0","0","0","0","0","0","0","0"
"03319.bpmn","false","","13","0","14","0","2","2","0","0","2","17","1","4","0.8235294117647058","0","0","0","0","0.2857142857142857","0","0","","","0","","","0","0","","","0","0","12.81946600007359","0","0","2","4","0","0","0","0","0","0"
"03320.bpmn","false","","0","0","0","0","0","1","10","10","1","15","0","0","0","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","12.514282999909483","0","0","4","0","0","0","0","4","0","0"
"03321.bpmn","false","","20","0","20","6","7","5","10","10","5","45","3","5","0.4444444444444444","4.666666666666667","0.5","0.5","0.15","0.25","375","125","0.48,0.4266666666666667,0.09333333333333334","0.14666666666666667,0.09333333333333338,-0.24","0.00000000000000001850371707708594","0,0,0","0,0,0","0","0","2,3,1","2,3,1","2","2","54.81040600000415","1","0","2","4","0","0","1","0","0","1"
"03322.bpmn","false","","27","0","27","25","5","9","5","5","9","51","3","0","0.5294117647058824","4","0.36","0.64","0.5925925925925926","0","446","148.66666666666666","0.27802690582959644,0.5762331838565022,0.14573991031390135","-0.05530642750373688,0.24289985052316893,-0.18759342301943197","0.000000000000000027755575615628914","0,0,0","0,0,0","0","0","1,2,1","1,2,1","1.3333333333333333","1.3333333333333333","60.25132499996107","2","2","4","3","0","0","0","0","0","0"
"03323.bpmn","false","","21","6","27","27","3","8","3","3","8","43","7","0","0.627906976744186","1.1428571428571428","0.4074074074074074","0.5925925925925926","0.7619047619047619","0","0","0","","","0","","","0","0","","","0","0","51.81153100007214","35","0","3","24","0","0","0","0","0","0"
